skill,job_count,percentage
SQL,97,65.1
Python,54,36.2
Excel,35,23.5
Power BI,32,21.5
Statistics,31,20.8
Machine Learning,30,20.1
Tableau,23,15.4
R (language),23,15.4
Azure,21,14.1
ETL,19,12.8
Databricks,10,6.7
AWS,9,6.0
Spark,9,6.0
Snowflake,8,5.4
Pandas,5,3.4
PostgreSQL,3,2.0
Looker,3,2.0
NumPy,3,2.0
MongoDB,1,0.7
dbt,1,0.7
